Date,Latitude,Longitude,Altitude,NO2,PM2.5,O3,PM10
2023-06-22 14:35:00+00:00,46.5592,15.656191,270.0,30.0,22.0,0,45.0
2023-10-13 22:35:00+00:00,46.5592,15.656191,270.0,29.0,26.0,0,45.0
2023-10-13 19:35:00+00:00,46.5592,15.656191,270.0,42.0,21.0,0,45.0
2023-06-22 11:35:00+00:00,46.5592,15.656191,270.0,42.0,24.0,0,45.0
2023-06-21 20:35:00+00:00,46.5592,15.656191,270.0,52.0,28.0,0,45.0
2023-02-15 22:15:00+00:00,46.5592,15.656191,270.0,26.0,41.0,0,45.0
2023-06-19 09:35:00+00:00,46.5592,15.656191,270.0,45.0,19.0,0,45.0
2023-02-17 18:15:00+00:00,46.5592,15.656191,270.0,61.0,25.0,0,44.0
2023-03-07 21:15:00+00:00,46.5592,15.656191,270.0,27.0,37.0,0,44.0
2023-02-17 18:35:00+00:00,46.5592,15.656191,270.0,61.0,25.0,0,44.0
2023-03-07 21:35:00+00:00,46.5592,15.656191,270.0,27.0,37.0,0,44.0
2023-12-05 17:35:00+00:00,46.5592,15.656191,270.0,52.0,35.0,0,44.0
2023-02-22 15:15:00+00:00,46.5592,15.656191,270.0,40.0,30.0,0,44.0
2023-02-22 15:35:00+00:00,46.5592,15.656191,270.0,40.0,30.0,0,44.0
2023-02-24 07:15:00+00:00,46.5592,15.656191,270.0,57.0,36.0,0,44.0
2023-12-04 08:35:00+00:00,46.5592,15.656191,270.0,50.0,42.0,0,44.0
2023-02-24 07:35:00+00:00,46.5592,15.656191,270.0,57.0,36.0,0,44.0
2023-06-22 10:35:00+00:00,46.5592,15.656191,270.0,23.0,23.0,0,44.0
2023-02-21 15:15:00+00:00,46.5592,15.656191,270.0,53.0,23.0,0,44.0
2023-02-21 15:35:00+00:00,46.5592,15.656191,270.0,53.0,23.0,0,44.0
2023-10-24 23:35:00+00:00,46.5592,15.656191,270.0,12.0,18.0,0,44.0
2023-12-08 21:35:00+00:00,46.5592,15.656191,270.0,41.0,42.0,0,44.0
2023-12-08 17:35:00+00:00,46.5592,15.656191,270.0,54.0,35.0,0,44.0
2023-06-23 01:35:00+00:00,46.5592,15.656191,270.0,10.0,25.0,0,44.0
2023-11-27 01:35:00+00:00,46.5592,15.656191,270.0,35.0,41.0,0,44.0
2023-12-08 08:35:00+00:00,46.5592,15.656191,270.0,50.0,33.0,0,44.0
2023-06-23 13:35:00+00:00,46.5592,15.656191,270.0,45.0,19.0,0,44.0
2023-08-25 08:35:00+00:00,46.5592,15.656191,270.0,41.0,25.0,0,44.0
2023-11-20 16:35:00+00:00,46.5592,15.656191,270.0,58.0,22.0,0,44.0
2023-03-06 18:15:00+00:00,46.5592,15.656191,270.0,55.0,30.0,0,44.0
2023-03-06 18:35:00+00:00,46.5592,15.656191,270.0,55.0,30.0,0,44.0
2023-09-12 10:35:00+00:00,46.5592,15.656191,270.0,42.0,24.0,0,44.0
2023-12-11 00:35:00+00:00,46.5592,15.656191,270.0,35.0,43.0,0,44.0
2023-10-21 01:35:00+00:00,46.5592,15.656191,270.0,13.0,19.0,0,43.0
2023-02-23 20:35:00+00:00,46.5592,15.656191,270.0,36.0,34.0,0,43.0
2023-02-21 09:15:00+00:00,46.5592,15.656191,270.0,46.0,19.0,0,43.0
